ALL_STAR_ID,ALL_STAR_NAME,GROUP_ID,GROUP_NAME,LINEUP_ARCHETYPE,SEASON
2544,LeBron James,2544-101181-201145-203109-1626224,L. James - J. Calderon - J. Green - J. Crowder - C. Osman,Glue guy-Glue guy-Movement Shooter-Wing Shot Creator,2017-18
2544,LeBron James,2544-101181-201145-202684-203903,L. James - J. Calderon - J. Green - T. Thompson - J. Clarkson,Movement Shooter-Rim Runner/Protector-Shot Creator Guard-Wing Shot Creator,2017-18
2544,LeBron James,2544-2747-201145-203903-203918,L. James - J. Smith - J. Green - J. Clarkson - R. Hood,All Around Guard-All Around Guard-Shot Creator Guard-Wing Shot Creator,2017-18
2544,LeBron James,2544-2747-201145-201567-202684,L. James - J. Smith - J. Green - K. Love - T. Thompson,All Around Guard-Rim Runner/Protector-Stretch Big-Wing Shot Creator,2017-18
2544,LeBron James,2544-2594-201145-202684-202697,L. James - K. Korver - J. Green - T. Thompson - I. Shumpert,All Around Guard-Movement Shooter-Rim Runner/Protector-Wing Shot Creator,2017-18
2544,LeBron James,2544-2594-2747-101181-203109,L. James - K. Korver - J. Smith - J. Calderon - J. Crowder,All Around Guard-Glue guy-Movement Shooter-Movement Shooter,2017-18
2544,LeBron James,2544-2594-2747-201567-202684,L. James - K. Korver - J. Smith - K. Love - T. Thompson,All Around Guard-Movement Shooter-Rim Runner/Protector-Stretch Big,2017-18
2544,LeBron James,2544-2747-201567-202681-202684,L. James - J. Smith - K. Love - K. Irving - T. Thompson,All Around Big-All Around Guard-Rim Runner/Protector-Shot Creator Guard,2016-17
2544,LeBron James,2544-201567-202681-202684-202697,L. James - K. Love - K. Irving - T. Thompson - I. Shumpert,All Around Big-All Around Guard-Rim Runner/Protector-Shot Creator Guard,2016-17
2544,LeBron James,2544-201567-202681-202684-202732,L. James - K. Love - K. Irving - T. Thompson - D. Liggins,All Around Big-Glue guy-Rim Runner/Protector-Shot Creator Guard,2016-17
2544,LeBron James,2210-2544-202681-202684-202697,R. Jefferson - L. James - K. Irving - T. Thompson - I. Shumpert,All Around Guard-Movement Shooter-Rim Runner/Protector-Shot Creator Guard,2016-17
2544,LeBron James,2544-101112-202681-202684-202697,L. James - C. Frye - K. Irving - T. Thompson - I. Shumpert,All Around Guard-Rim Runner/Protector-Shot Creator Guard-Stretch Big,2016-17
2544,LeBron James,2544-2747-101112-201567-202681,L. James - J. Smith - C. Frye - K. Love - K. Irving,All Around Big-All Around Guard-Shot Creator Guard-Stretch Big,2016-17
2544,LeBron James,2210-2544-101112-202681-202697,R. Jefferson - L. James - C. Frye - K. Irving - I. Shumpert,All Around Guard-Movement Shooter-Shot Creator Guard-Stretch Big,2016-17
2544,LeBron James,2210-2544-2747-202681-202684,R. Jefferson - L. James - J. Smith - K. Irving - T. Thompson,All Around Guard-Movement Shooter-Rim Runner/Protector-Shot Creator Guard,2016-17
2544,LeBron James,2544-2594-201567-202681-202684,L. James - K. Korver - K. Love - K. Irving - T. Thompson,All Around Big-Movement Shooter-Rim Runner/Protector-Shot Creator Guard,2016-17
2544,LeBron James,2544-2747-201567-202681-202697,L. James - J. Smith - K. Love - K. Irving - I. Shumpert,All Around Big-All Around Guard-All Around Guard-Shot Creator Guard,2016-17
2544,LeBron James,2544-2747-202681-202684-202697,L. James - J. Smith - K. Irving - T. Thompson - I. Shumpert,All Around Guard-All Around Guard-Rim Runner/Protector-Shot Creator Guard,2016-17
2544,LeBron James,2210-2544-2594-101112-1627770,R. Jefferson - L. James - K. Korver - C. Frye - K. Felder,Movement Shooter-Movement Shooter-Pure Point Guard-Stretch Big,2016-17
2544,LeBron James,2210-2544-2594-101112-202682,R. Jefferson - L. James - K. Korver - C. Frye - D. Williams,Movement Shooter-Movement Shooter-Stretch Big-Stretch Big,2016-17
2544,LeBron James,2544-201567-202684-202732-203895,L. James - K. Love - T. Thompson - D. Liggins - J. McRae,All Around Big-All Around Guard-Glue guy-Rim Runner/Protector,2016-17
2544,LeBron James,2544-101112-201567-202681-202697,L. James - C. Frye - K. Love - K. Irving - I. Shumpert,All Around Big-All Around Guard-Shot Creator Guard-Stretch Big,2016-17
2544,LeBron James,2210-2544-2594-101112-202732,R. Jefferson - L. James - K. Korver - C. Frye - D. Liggins,Glue guy-Movement Shooter-Movement Shooter-Stretch Big,2016-17
2544,LeBron James,2210-2544-201567-202681-202684,R. Jefferson - L. James - K. Love - K. Irving - T. Thompson,All Around Big-Movement Shooter-Rim Runner/Protector-Shot Creator Guard,2016-17
2544,LeBron James,2210-2544-2594-101114-202697,R. Jefferson - L. James - K. Korver - D. Williams - I. Shumpert,All Around Guard-All Around Guard-Movement Shooter-Movement Shooter,2016-17
2544,LeBron James,2544-2594-202681-202684-202697,L. James - K. Korver - K. Irving - T. Thompson - I. Shumpert,All Around Guard-Movement Shooter-Rim Runner/Protector-Shot Creator Guard,2016-17
2544,LeBron James,2210-2544-101112-202697-203895,R. Jefferson - L. James - C. Frye - I. Shumpert - J. McRae,All Around Guard-All Around Guard-Movement Shooter-Stretch Big,2016-17
2544,LeBron James,2544-2747-101112-202681-202684,L. James - J. Smith - C. Frye - K. Irving - T. Thompson,All Around Guard-Rim Runner/Protector-Shot Creator Guard-Stretch Big,2016-17
2544,LeBron James,2544-2594-2747-201567-202681,L. James - K. Korver - J. Smith - K. Love - K. Irving,All Around Big-All Around Guard-Movement Shooter-Shot Creator Guard,2016-17
2544,LeBron James,2210-2544-2747-101112-101114,R. Jefferson - L. James - J. Smith - C. Frye - D. Williams,All Around Guard-All Around Guard-Movement Shooter-Stretch Big,2016-17
2544,LeBron James,2210-2399-2544-101112-202697,R. Jefferson - M. Dunleavy - L. James - C. Frye - I. Shumpert,3&D-All Around Guard-Movement Shooter-Stretch Big,2016-17
2544,LeBron James,2544-201567-202681-202684-203895,L. James - K. Love - K. Irving - T. Thompson - J. McRae,All Around Big-All Around Guard-Rim Runner/Protector-Shot Creator Guard,2016-17
2544,LeBron James,2210-2544-101112-202697-1627770,R. Jefferson - L. James - C. Frye - I. Shumpert - K. Felder,All Around Guard-Movement Shooter-Pure Point Guard-Stretch Big,2016-17
2544,LeBron James,2399-2544-101112-202697-203895,M. Dunleavy - L. James - C. Frye - I. Shumpert - J. McRae,3&D-All Around Guard-All Around Guard-Stretch Big,2016-17
2544,LeBron James,2210-2544-202681-202684-202732,R. Jefferson - L. James - K. Irving - T. Thompson - D. Liggins,Glue guy-Movement Shooter-Rim Runner/Protector-Shot Creator Guard,2016-17
2544,LeBron James,2544-2594-202681-202682-202684,L. James - K. Korver - K. Irving - D. Williams - T. Thompson,Movement Shooter-Rim Runner/Protector-Shot Creator Guard-Stretch Big,2016-17
2544,LeBron James,2544-2747-201567-202684-202732,L. James - J. Smith - K. Love - T. Thompson - D. Liggins,All Around Big-All Around Guard-Glue guy-Rim Runner/Protector,2016-17
2544,LeBron James,2210-2544-101112-101114-202697,R. Jefferson - L. James - C. Frye - D. Williams - I. Shumpert,All Around Guard-All Around Guard-Movement Shooter-Stretch Big,2016-17
2544,LeBron James,2210-2544-2594-101112-101114,R. Jefferson - L. James - K. Korver - C. Frye - D. Williams,All Around Guard-Movement Shooter-Movement Shooter-Stretch Big,2016-17
2544,LeBron James,2210-2544-2594-101114-202682,R. Jefferson - L. James - K. Korver - D. Williams - D. Williams,All Around Guard-Movement Shooter-Movement Shooter-Stretch Big,2016-17
2544,LeBron James,2544-201567-202684-202697-202732,L. James - K. Love - T. Thompson - I. Shumpert - D. Liggins,All Around Big-All Around Guard-Glue guy-Rim Runner/Protector,2016-17
2544,LeBron James,2544-2747-101112-101114-202682,L. James - J. Smith - C. Frye - D. Williams - D. Williams,All Around Guard-All Around Guard-Stretch Big-Stretch Big,2016-17
2544,LeBron James,2544-2747-201567-202684-202697,L. James - J. Smith - K. Love - T. Thompson - I. Shumpert,All Around Big-All Around Guard-All Around Guard-Rim Runner/Protector,2016-17
2544,LeBron James,2210-2544-202684-202697-1627770,R. Jefferson - L. James - T. Thompson - I. Shumpert - K. Felder,All Around Guard-Movement Shooter-Pure Point Guard-Rim Runner/Protector,2016-17
2544,LeBron James,2544-101112-202684-202732-203895,L. James - C. Frye - T. Thompson - D. Liggins - J. McRae,All Around Guard-Glue guy-Rim Runner/Protector-Stretch Big,2016-17
